team1,team2,score1,score2,RESULT,SCORE_DIFF
Denver Nuggets,Los Angeles Clippers,111,124,L,-13
Houston Rockets,San Antonio Spurs,105,123,L,-18
San Antonio Spurs,Houston Rockets,123,105,W,18
Phoenix Suns,Philadelphia 76ers,130,117,W,13
Philadelphia 76ers,Phoenix Suns,117,130,L,-13
Boston Celtics,Memphis Grizzlies,122,107,W,15
Memphis Grizzlies,Boston Celtics,107,122,L,-15
Portland Trail Blazers,Dallas Mavericks,134,131,W,3
Dallas Mavericks,Portland Trail Blazers,131,134,L,-3
Milwaukee Bucks,Washington Wizards,126,113,W,13
Washington Wizards,Milwaukee Bucks,113,126,L,-13
New Orleans Pelicans,Sacramento Kings,106,112,L,-6
Sacramento Kings,New Orleans Pelicans,112,106,W,6
Brooklyn Nets,Orlando Magic,108,96,W,12
Orlando Magic,Brooklyn Nets,96,108,L,-12
Indiana Pacers,Miami Heat,92,114,L,-22
Miami Heat,Indiana Pacers,114,92,W,22
Denver Nuggets,Los Angeles Lakers,121,124,L,-3
Los Angeles Lakers,Denver Nuggets,124,121,W,3
Oklahoma City Thunder,Phoenix Suns,101,128,L,-27
Phoenix Suns,Oklahoma City Thunder,128,101,W,27
Dallas Mavericks,Utah Jazz,122,114,W,8
Utah Jazz,Dallas Mavericks,114,122,L,-8
Toronto Raptors,Milwaukee Bucks,114,106,W,8
Milwaukee Bucks,Toronto Raptors,106,114,L,-8
Washington Wizards,Oklahoma City Thunder,103,121,L,-18
Oklahoma City Thunder,Washington Wizards,121,103,W,18
Memphis Grizzlies,Toronto Raptors,99,108,L,-9
Toronto Raptors,Memphis Grizzlies,108,99,W,9
Philadelphia 76ers,Portland Trail Blazers,121,124,L,-3
Portland Trail Blazers,Philadelphia 76ers,124,121,W,3
Brooklyn Nets,Los Angeles Clippers,129,120,W,9
Los Angeles Clippers,Brooklyn Nets,120,129,L,-9
Houston Rockets,Sacramento Kings,129,112,W,17
Sacramento Kings,Houston Rockets,112,129,L,-17
Orlando Magic,Boston Celtics,119,122,L,-3
Boston Celtics,Orlando Magic,122,119,W,3
San Antonio Spurs,New Orleans Pelicans,122,113,W,9
New Orleans Pelicans,San Antonio Spurs,113,122,L,-9
Los Angeles Clippers,Portland Trail Blazers,122,117,W,5
Portland Trail Blazers,Los Angeles Clippers,117,122,L,-5
Milwaukee Bucks,Dallas Mavericks,132,136,L,-4
Dallas Mavericks,Milwaukee Bucks,136,132,W,4
Utah Jazz,Denver Nuggets,132,134,L,-2
Denver Nuggets,Utah Jazz,134,132,W,2
Los Angeles Lakers,Indiana Pacers,111,116,L,-5
Indiana Pacers,Los Angeles Lakers,116,111,W,5
Phoenix Suns,Miami Heat,119,112,W,7
Miami Heat,Phoenix Suns,112,119,L,-7
Utah Jazz,San Antonio Spurs,111,119,L,-8
San Antonio Spurs,Utah Jazz,119,111,W,8
Washington Wizards,New Orleans Pelicans,107,118,L,-11
New Orleans Pelicans,Washington Wizards,118,107,W,11
Boston Celtics,Toronto Raptors,122,100,W,22
Toronto Raptors,Boston Celtics,100,122,L,-22
Sacramento Kings,Brooklyn Nets,106,119,L,-13
Brooklyn Nets,Sacramento Kings,119,106,W,13
Oklahoma City Thunder,Memphis Grizzlies,92,121,L,-29
